date, value
11/07/1994,3.3956
12/07/1994,3.396
13/07/1994,3.396
14/07/1994,3.398
15/07/1994,3.3975
18/07/1994,3.3985
19/07/1994,3.398
20/07/1994,3.3975
21/07/1994,3.4
22/07/1994,3.401
25/07/1994,3.402
26/07/1994,3.4025
27/07/1994,3.4
28/07/1994,3.3925
29/07/1994,3.3925
01/08/1994,3.394
02/08/1994,3.39
03/08/1994,3.375
04/08/1994,3.373
05/08/1994,3.372
08/08/1994,3.3825
09/08/1994,3.383
10/08/1994,3.385
11/08/1994,3.395
12/08/1994,3.3955
15/08/1994,3.399
16/08/1994,3.4035
17/08/1994,3.396
18/08/1994,3.377
19/08/1994,3.373
22/08/1994,3.31
23/08/1994,3.33
24/08/1994,3.342
25/08/1994,3.35
26/08/1994,3.367
29/08/1994,3.37
30/08/1994,3.375
31/08/1994,3.388
01/09/1994,3.384
02/09/1994,3.368
06/09/1994,3.397
07/09/1994,3.394
08/09/1994,3.393
09/09/1994,3.405
12/09/1994,3.407
13/09/1994,3.417
14/09/1994,3.41
15/09/1994,3.4
16/09/1994,3.4
19/09/1994,3.404
20/09/1994,3.405
21/09/1994,3.398
22/09/1994,3.403
23/09/1994,3.398
26/09/1994,3.378
27/09/1994,3.382
28/09/1994,3.412
29/09/1994,3.398
30/09/1994,3.393
03/10/1994,3.393
04/10/1994,3.403
05/10/1994,3.41
06/10/1994,3.412
07/10/1994,3.416
10/10/1994,3.414
11/10/1994,3.411
12/10/1994,3.411
13/10/1994,3.411
14/10/1994,3.414
17/10/1994,3.4165
18/10/1994,3.418
19/10/1994,3.4125
20/10/1994,3.413
21/10/1994,3.414
24/10/1994,3.414
25/10/1994,3.423
26/10/1994,3.426
27/10/1994,3.426
28/10/1994,3.4295
31/10/1994,3.433
01/11/1994,3.437
02/11/1994,3.437
03/11/1994,3.4365
04/11/1994,3.4265
07/11/1994,3.424
08/11/1994,3.422
09/11/1994,3.424
10/11/1994,3.4395
11/11/1994,3.44
14/11/1994,3.442
15/11/1994,3.449
16/11/1994,3.45
17/11/1994,3.4505
18/11/1994,3.45
21/11/1994,3.4525
22/11/1994,3.444
23/11/1994,3.447
25/11/1994,3.446
28/11/1994,3.448
29/11/1994,3.439
30/11/1994,3.439
01/12/1994,3.439
02/12/1994,3.437
05/12/1994,3.437
06/12/1994,3.4375
07/12/1994,3.444
08/12/1994,3.446
09/12/1994,3.446
12/12/1994,3.448
13/12/1994,3.454
14/12/1994,3.454
15/12/1994,3.46
16/12/1994,3.46
19/12/1994,3.4645
20/12/1994,3.937
21/12/1994,3.981
22/12/1994,4.68
23/12/1994,4.75
27/12/1994,5.7
28/12/1994,5.49
29/12/1994,4.82
30/12/1994,4.885
03/01/1995,5.345
04/01/1995,5.45
05/01/1995,5.3
06/01/1995,5.5
09/01/1995,5.23
10/01/1995,5.7725
11/01/1995,5.7
12/01/1995,5.585
13/01/1995,5.265
16/01/1995,5.3775
17/01/1995,5.24
18/01/1995,5.3025
19/01/1995,5.5625
20/01/1995,5.6675
23/01/1995,5.715
24/01/1995,5.8
25/01/1995,5.685
26/01/1995,5.7075
27/01/1995,5.7
30/01/1995,6.3
31/01/1995,5.7625
01/02/1995,5.4425
02/02/1995,5.5
03/02/1995,5.39
06/02/1995,5.3325
07/02/1995,5.2925
08/02/1995,5.315
09/02/1995,5.5175
10/02/1995,5.63
13/02/1995,5.6775
14/02/1995,5.7325
15/02/1995,5.955
16/02/1995,6.0875
17/02/1995,6.0125
21/02/1995,5.5975
22/02/1995,5.8525
23/02/1995,5.675
24/02/1995,5.8625
27/02/1995,5.9775
28/02/1995,6.035
01/03/1995,5.96
02/03/1995,6.02
03/03/1995,6.1175
06/03/1995,6.63
07/03/1995,6.8405
08/03/1995,6.8875
09/03/1995,7.51
10/03/1995,6.73
13/03/1995,6.475
14/03/1995,6.625
15/03/1995,7.205
16/03/1995,7.12
17/03/1995,6.9425
20/03/1995,6.98
21/03/1995,6.98
22/03/1995,6.75
23/03/1995,6.749
24/03/1995,6.898
27/03/1995,6.7
28/03/1995,6.795
29/03/1995,6.7775
30/03/1995,6.72
31/03/1995,6.775
03/04/1995,6.7575
04/04/1995,6.665
05/04/1995,6.4475
06/04/1995,6.3675
07/04/1995,6.4
10/04/1995,6.3025
11/04/1995,6.2925
12/04/1995,6.18
13/04/1995,6.29
17/04/1995,6.24
18/04/1995,6.21
19/04/1995,6.105
20/04/1995,6.025
21/04/1995,6.0525
24/04/1995,5.935
25/04/1995,5.8725
26/04/1995,5.84
27/04/1995,6.0725
28/04/1995,6.0125
01/05/1995,5.9125
02/05/1995,5.905
03/05/1995,5.8425
04/05/1995,5.845
05/05/1995,5.8525
08/05/1995,5.8075
09/05/1995,5.9425
10/05/1995,5.9075
11/05/1995,5.9025
12/05/1995,5.905
15/05/1995,5.93
16/05/1995,5.91
17/05/1995,5.9
18/05/1995,5.895
19/05/1995,5.905
22/05/1995,5.9025
23/05/1995,5.945
24/05/1995,6.02
25/05/1995,6.0925
26/05/1995,6.135
30/05/1995,6.19
31/05/1995,6.1825
01/06/1995,6.1725
02/06/1995,6.175
05/06/1995,6.1
06/06/1995,6.085
07/06/1995,6.1425
08/06/1995,6.1925
09/06/1995,6.23
12/06/1995,6.2575
13/06/1995,6.165
14/06/1995,6.185
15/06/1995,6.15
16/06/1995,6.16
19/06/1995,6.1775
20/06/1995,6.21
21/06/1995,6.2625
22/06/1995,6.21
23/06/1995,6.23
26/06/1995,6.23
27/06/1995,6.26
28/06/1995,6.2625
29/06/1995,6.2525
30/06/1995,6.25
03/07/1995,6.24
05/07/1995,6.25
06/07/1995,6.2575
07/07/1995,6.1425
10/07/1995,6.1
11/07/1995,6.115
12/07/1995,6.0925
13/07/1995,6.05
14/07/1995,6.01
17/07/1995,5.98
18/07/1995,6.02
19/07/1995,6.01
20/07/1995,6.13
21/07/1995,6.08
24/07/1995,6.09
25/07/1995,6.09
26/07/1995,6
27/07/1995,6
28/07/1995,6
31/07/1995,6.02
01/08/1995,6.1
02/08/1995,5.95
03/08/1995,6
04/08/1995,6.12
07/08/1995,6.1
08/08/1995,6.125
09/08/1995,6.125
10/08/1995,6.1275
11/08/1995,6.1305
14/08/1995,6.13
15/08/1995,6.145
16/08/1995,6.165
17/08/1995,6.1775
18/08/1995,6.2125
21/08/1995,6.215
22/08/1995,6.235
23/08/1995,6.31
24/08/1995,6.31
25/08/1995,6.3175
28/08/1995,6.32
29/08/1995,6.29
30/08/1995,6.282
31/08/1995,6.258
01/09/1995,6.255
05/09/1995,6.23
06/09/1995,6.252
07/09/1995,6.255
08/09/1995,6.285
11/09/1995,6.2815
12/09/1995,6.28
13/09/1995,6.267
14/09/1995,6.274
15/09/1995,6.27
18/09/1995,6.273
19/09/1995,6.283
20/09/1995,6.324
21/09/1995,6.32
22/09/1995,6.35
25/09/1995,6.3
26/09/1995,6.3825
27/09/1995,6.41
28/09/1995,6.44
29/09/1995,6.382
02/10/1995,6.43
03/10/1995,6.56
04/10/1995,6.56
05/10/1995,6.53
06/10/1995,6.5375
09/10/1995,6.5375
10/10/1995,6.795
11/10/1995,6.75
12/10/1995,6.705
13/10/1995,6.76
16/10/1995,6.74
17/10/1995,6.756
18/10/1995,6.6875
19/10/1995,6.6675
20/10/1995,6.65
23/10/1995,6.722
24/10/1995,6.76
25/10/1995,6.7875
26/10/1995,7.285
27/10/1995,7.095
30/10/1995,6.925
31/10/1995,7.11
01/11/1995,7.345
02/11/1995,7.25
03/11/1995,7.5
06/11/1995,7.3
07/11/1995,7.47
08/11/1995,7.78
09/11/1995,7.92
10/11/1995,7.56
13/11/1995,7.77
14/11/1995,7.97
15/11/1995,7.89
16/11/1995,7.78
17/11/1995,7.65
20/11/1995,7.7
21/11/1995,7.69
22/11/1995,7.7
24/11/1995,7.655
27/11/1995,7.665
28/11/1995,7.615
29/11/1995,7.465
